Familia,Tipo,FechaCompleta,Porcentaje,Valor,Dia,Hora,BajasEmisiones
Renovable,Hidroeólica,2023-01-13T23:00:00.000Z,4.6651161855344724E-5,18.469,2023-01-13,23:00:00,true
Renovable,Hidroeólica,2023-01-14T23:00:00.000Z,1.466771793419019E-4,62.72,2023-01-14,23:00:00,true
Renovable,Hidroeólica,2023-01-15T23:00:00.000Z,1.1764365051823586E-4,63.789,2023-01-15,23:00:00,true
Renovable,Hidroeólica,2023-01-16T23:00:00.000Z,1.2351262721219304E-4,65.788,2023-01-16,23:00:00,true
Renovable,Hidroeólica,2023-01-17T23:00:00.000Z,1.1952802953987349E-4,63.36,2023-01-17,23:00:00,true
Renovable,Hidroeólica,2023-01-18T23:00:00.000Z,1.7313984483049893E-4,96.011,2023-01-18,23:00:00,true
Renovable,Hidroeólica,2023-01-19T23:00:00.000Z,2.0365954021698662E-4,95.813,2023-01-19,23:00:00,true
Renovable,Hidroeólica,2023-01-20T23:00:00.000Z,1.930034010332299E-4,88.215,2023-01-20,23:00:00,true
Renovable,Hidroeólica,2023-01-21T23:00:00.000Z,1.8403404768256655E-4,90.305,2023-01-21,23:00:00,true
Renovable,Hidroeólica,2023-01-22T23:00:00.000Z,1.815447212064001E-4,97.427,2023-01-22,23:00:00,true
Renovable,Hidroeólica,2023-01-23T23:00:00.000Z,1.4228507234615605E-4,67.915,2023-01-23,23:00:00,true
Renovable,Hidroeólica,2023-01-24T23:00:00.000Z,1.505316411280777E-4,72.754,2023-01-24,23:00:00,true
Renovable,Hidroeólica,2023-01-25T23:00:00.000Z,1.362588896754156E-4,74.559,2023-01-25,23:00:00,true
Renovable,Hidroeólica,2023-01-26T23:00:00.000Z,1.5996771447143897E-4,92.742,2023-01-26,23:00:00,true
Renovable,Hidroeólica,2023-01-27T23:00:00.000Z,1.774581652160552E-4,91.585,2023-01-27,23:00:00,true
Renovable,Hidroeólica,2023-01-28T23:00:00.000Z,1.0445697393051174E-4,45.811,2023-01-28,23:00:00,true
Renovable,Hidroeólica,2023-01-29T23:00:00.000Z,6.853551735015747E-5,28.404,2023-01-29,23:00:00,true
Renovable,Hidroeólica,2023-01-30T23:00:00.000Z,9.134400599350255E-5,42.452,2023-01-30,23:00:00,true
Renovable,Otras renovables,2022-12-31T23:00:00.000Z,0.018867929154105956,5310.192,2022-12-31,23:00:00,true
Renovable,Otras renovables,2023-01-01T23:00:00.000Z,0.032811537585027174,9111.999,2023-01-01,23:00:00,true
Renovable,Otras renovables,2023-01-02T23:00:00.000Z,0.03653905575607872,10867.003,2023-01-02,23:00:00,true
Renovable,Otras renovables,2023-01-03T23:00:00.000Z,0.0378505795393706,10731.468,2023-01-03,23:00:00,true
Renovable,Otras renovables,2023-01-04T23:00:00.000Z,0.04054472127839762,10780.028,2023-01-04,23:00:00,true
Renovable,Otras renovables,2023-01-05T23:00:00.000Z,0.03847361449773601,11181.327,2023-01-05,23:00:00,true
Renovable,Otras renovables,2023-01-06T23:00:00.000Z,0.01580895320069043,6766.675,2023-01-06,23:00:00,true
Renovable,Otras renovables,2023-01-07T23:00:00.000Z,0.012968927684209864,6272.723,2023-01-07,23:00:00,true
Renovable,Otras renovables,2023-01-08T23:00:00.000Z,0.01989350368973574,9299.887,2023-01-08,23:00:00,true
Renovable,Otras renovables,2023-01-09T23:00:00.000Z,0.027193079523921068,11497.383,2023-01-09,23:00:00,true
Renovable,Otras renovables,2023-01-10T23:00:00.000Z,0.02941067524849457,11805.462,2023-01-10,23:00:00,true
Renovable,Otras renovables,2023-01-11T23:00:00.000Z,0.028935309451921278,11338.423,2023-01-11,23:00:00,true
Renovable,Otras renovables,2023-01-12T23:00:00.000Z,0.02886323119443329,11282.049,2023-01-12,23:00:00,true
Renovable,Otras renovables,2023-01-13T23:00:00.000Z,0.025958167446731104,10276.73,2023-01-13,23:00:00,true
Renovable,Otras renovables,2023-01-14T23:00:00.000Z,0.022792941443247415,9746.392,2023-01-14,23:00:00,true
Renovable,Otras renovables,2023-01-15T23:00:00.000Z,0.012284640679744496,6661.005,2023-01-15,23:00:00,true
Renovable,Otras renovables,2023-01-16T23:00:00.000Z,0.010263880922480158,5466.973,2023-01-16,23:00:00,true
Renovable,Otras renovables,2023-01-17T23:00:00.000Z,0.010238954754547136,5427.515,2023-01-17,23:00:00,true
Renovable,Otras renovables,2023-01-18T23:00:00.000Z,0.009978815800517798,5533.539,2023-01-18,23:00:00,true
Renovable,Otras renovables,2023-01-19T23:00:00.000Z,0.01921379066017323,9039.257,2023-01-19,23:00:00,true
Renovable,Otras renovables,2023-01-20T23:00:00.000Z,0.02111480836354503,9650.829,2023-01-20,23:00:00,true
Renovable,Otras renovables,2023-01-21T23:00:00.000Z,0.017417061343837505,8546.504,2023-01-21,23:00:00,true
Renovable,Otras renovables,2023-01-22T23:00:00.000Z,0.01757862986285015,9433.671,2023-01-22,23:00:00,true
Renovable,Otras renovables,2023-01-23T23:00:00.000Z,0.021195259114184597,10116.845,2023-01-23,23:00:00,true
Renovable,Otras renovables,2023-01-24T23:00:00.000Z,0.022904717320632876,11070.163,2023-01-24,23:00:00,true
Renovable,Otras renovables,2023-01-25T23:00:00.000Z,0.01984962281138327,10861.442,2023-01-25,23:00:00,true
Renovable,Otras renovables,2023-01-26T23:00:00.000Z,0.01749053306807059,10140.215,2023-01-26,23:00:00,true
Renovable,Otras renovables,2023-01-27T23:00:00.000Z,0.018676339826610298,9638.737,2023-01-27,23:00:00,true
Renovable,Otras renovables,2023-01-28T23:00:00.000Z,0.022646110511935033,9931.754,2023-01-28,23:00:00,true
Renovable,Otras renovables,2023-01-29T23:00:00.000Z,0.027593467227011843,11435.893,2023-01-29,23:00:00,true
Renovable,Otras renovables,2023-01-30T23:00:00.000Z,0.02666734591560221,12393.612,2023-01-30,23:00:00,true
Renovable,Residuos renovables,2022-12-31T23:00:00.000Z,0.008785673891177138,2472.641,2022-12-31,23:00:00,true
Renovable,Residuos renovables,2023-01-01T23:00:00.000Z,0.008568117143899734,2379.4275,2023-01-01,23:00:00,true
Renovable,Residuos renovables,2023-01-02T23:00:00.000Z,0.00872482271207632,2594.831,2023-01-02,23:00:00,true
Renovable,Residuos renovables,2023-01-03T23:00:00.000Z,0.009294534410806384,2635.204,2023-01-03,23:00:00,true
Renovable,Residuos renovables,2023-01-04T23:00:00.000Z,0.009968914973252111,2650.5345,2023-01-04,23:00:00,true
Renovable,Residuos renovables,2023-01-05T23:00:00.000Z,0.009070440760636591,2636.081,2023-01-05,23:00:00,true
Renovable,Residuos renovables,2023-01-06T23:00:00.000Z,0.0060619956042878165,2594.704,2023-01-06,23:00:00,true
Renovable,Residuos renovables,2023-01-07T23:00:00.000Z,0.005053997004535412,2444.483,2023-01-07,23:00:00,true
Renovable,Residuos renovables,2023-01-08T23:00:00.000Z,0.005056519478349031,2363.84,2023-01-08,23:00:00,true
Renovable,Residuos renovables,2023-01-09T23:00:00.000Z,0.0056796792428506805,2401.3995,2023-01-09,23:00:00,true
Renovable,Residuos renovables,2023-01-10T23:00:00.000Z,0.0062370152076749695,2503.5415,2023-01-10,23:00:00,true
Renovable,Residuos renovables,2023-01-11T23:00:00.000Z,0.006255823977149707,2451.371,2023-01-11,23:00:00,true
Renovable,Residuos renovables,2023-01-12T23:00:00.000Z,0.006453867982433381,2522.6855,2023-01-12,23:00:00,true
Renovable,Residuos renovables,2023-01-13T23:00:00.000Z,0.006129363772861553,2426.5895,2023-01-13,23:00:00,true
Renovable,Residuos renovables,2023-01-14T23:00:00.000Z,0.005603711366682066,2396.179,2023-01-14,23:00:00,true
Renovable,Residuos renovables,2023-01-15T23:00:00.000Z,0.0040501043033171905,2196.0565,2023-01-15,23:00:00,true
Renovable,Residuos renovables,2023-01-16T23:00:00.000Z,0.004028694539615511,2145.8515,2023-01-16,23:00:00,true
Renovable,Residuos renovables,2023-01-17T23:00:00.000Z,0.004317993456406329,2288.903,2023-01-17,23:00:00,true
Renovable,Residuos renovables,2023-01-18T23:00:00.000Z,0.0040432872189810655,2242.1185,2023-01-18,23:00:00,true
Renovable,Residuos renovables,2023-01-19T23:00:00.000Z,0.005005836631432476,2355.0295,2023-01-19,23:00:00,true
Renovable,Residuos renovables,2023-01-20T23:00:00.000Z,0.0052024201849793904,2377.8415,2023-01-20,23:00:00,true
Renovable,Residuos renovables,2023-01-21T23:00:00.000Z,0.004067226837736223,1995.777,2023-01-21,23:00:00,true
Renovable,Residuos renovables,2023-01-22T23:00:00.000Z,0.002877182054739131,1544.056,2023-01-22,23:00:00,true
Renovable,Residuos renovables,2023-01-23T23:00:00.000Z,0.003100229674588153,1479.7905,2023-01-23,23:00:00,true
Renovable,Residuos renovables,2023-01-24T23:00:00.000Z,0.003052784537365988,1475.4525,2023-01-24,23:00:00,true
Renovable,Residuos renovables,2023-01-25T23:00:00.000Z,0.0024284086767469367,1328.792,2023-01-25,23:00:00,true
Renovable,Residuos renovables,2023-01-26T23:00:00.000Z,0.0023737901722538724,1376.2155,2023-01-26,23:00:00,true
Renovable,Residuos renovables,2023-01-27T23:00:00.000Z,0.0029516930420133767,1523.3495,2023-01-27,23:00:00,true
Renovable,Residuos renovables,2023-01-28T23:00:00.000Z,0.004224516291427601,1852.718,2023-01-28,23:00:00,true
Renovable,Residuos renovables,2023-01-29T23:00:00.000Z,0.005085124742730767,2107.4895,2023-01-29,23:00:00,true
Renovable,Residuos renovables,2023-01-30T23:00:00.000Z,0.005090676849616928,2365.885,2023-01-30,23:00:00,true
Renovable,Generación renovable,2022-12-31T23:00:00.000Z,1.0,281440.107,2022-12-31,23:00:00,true
Renovable,Generación renovable,2023-01-01T23:00:00.000Z,1.0,277707.16250000003,2023-01-01,23:00:00,true
Renovable,Generación renovable,2023-01-02T23:00:00.000Z,1.0,297407.877,2023-01-02,23:00:00,true
Renovable,Generación renovable,2023-01-03T23:00:00.000Z,1.0,283521.89400000003,2023-01-03,23:00:00,true
Renovable,Generación renovable,2023-01-04T23:00:00.000Z,1.0,265879.9385,2023-01-04,23:00:00,true
Renovable,Generación renovable,2023-01-05T23:00:00.000Z,1.0,290623.25299999997,2023-01-05,23:00:00,true
Renovable,Generación renovable,2023-01-06T23:00:00.000Z,1.0,428028.02400000003,2023-01-06,23:00:00,true
Renovable,Generación renovable,2023-01-07T23:00:00.000Z,1.0,483673.219,2023-01-07,23:00:00,true
Renovable,Generación renovable,2023-01-08T23:00:00.000Z,1.0,467483.61400000006,2023-01-08,23:00:00,true
Renovable,Generación renovable,2023-01-09T23:00:00.000Z,1.0,422805.4785,2023-01-09,23:00:00,true
Renovable,Generación renovable,2023-01-10T23:00:00.000Z,1.0,401400.57649999997,2023-01-10,23:00:00,true
Renovable,Generación renovable,2023-01-11T23:00:00.000Z,1.0,391854.21599999996,2023-01-11,23:00:00,true
Renovable,Generación renovable,2023-01-12T23:00:00.000Z,1.0,390879.62549999997,2023-01-12,23:00:00,true
Renovable,Generación renovable,2023-01-13T23:00:00.000Z,1.0,395895.8205,2023-01-13,23:00:00,true
Renovable,Generación renovable,2023-01-14T23:00:00.000Z,1.0,427605.7139999999,2023-01-14,23:00:00,true
Renovable,Generación renovable,2023-01-15T23:00:00.000Z,1.0,542222.2084999998,2023-01-15,23:00:00,true
Renovable,Generación renovable,2023-01-16T23:00:00.000Z,1.0,532641.8964999999,2023-01-16,23:00:00,true
